Z Symbol Name "MAI Weight" "MAI Mass" M SBE Q84 Q96 W s
1 H Hydrogen 1 1.008 1.008 0 1 0 0 0
2 He Helium 4 4.003 4.003 0 1 0 0 0
3 Li Lithium 7 7.016 6.941 1.67 1 0 0 0
4 Be Beryllium 9 9.012 9.012 3.38 2.17 1.66 2.32 2.5
5 B Boron 11 11.009 10.811 5.73 4.6 2.62 4.39 2.5
6 C Carbon 12 12 12.011 7.41 3.1 1.7 1.84 2.5
7 N Nitrogen 14 14.003 14.007 0 1 0 0 0
8 O Oxygen 16 15.995 15.999 0 1 0 0 0
9 F Fluorine 19 18.998 18.998 0 1 0 0 0
10 Ne Neon 20 19.992 20.18 0 1 0 0 0
11 Na Sodium 23 22.99 22.99 1.12 1 0 0 0
12 Mg Magnesium 24 23.985 24.305 1.54 1 0 0 0
13 Al Aluminum 27 26.982 26.982 3.36 1.09 1 2.17 2.5
14 Si Silicon 28 27.977 28.086 4.7 0.78 0.66 2.32 2.5
15 P Phosphorus 31 30.974 30.974 3.27 1 0 0 0
16 S Sulfur 32 31.972 32.066 2.88 1 0 0 0
17 Cl Chlorine 35 34.969 35.453 0 1 0 0 0
18 Ar Argon 40 39.962 39.948 0 1 0 0 0
19 K Potassium 39 38.964 39.098 0.93 1 0 0 0
20 Ca Calcium 40 39.963 40.08 1.83 1 0 0 0
21 Sc Scandium 45 44.956 44.956 3.49 1 0 0 0
22 Ti Titanium 48 47.95 47.9 4.89 0.58 0.54 2.57 2.5
23 V Vanadium 51 50.94 50.942 5.33 0.9 0.72 2.39 2.5
24 Cr Chromium 52 51.94 51.996 4.12 1.23 0.93 1.44 2.5
25 Mn Manganese 55 54.94 54.938 2.98 1.13 0.95 0.88 2.5
26 Fe Iron 56 55.935 55.847 4.34 1.06 0.75 1.2 2.5
27 Co Cobalt 59 58.93 58.933 4.43 1 1.02 1.54 2.5
28 Ni Nickel 58 57.94 58.69 4.46 1.06 0.94 1.33 2.5
29 Cu Copper 63 62.93 63.546 3.52 1.3 1 0.73 2.5
30 Zn Zinc 64 63.93 65.39 1.35 1 0 0 0
31 Ga Gallium 69 68.93 69.72 2.82 1 0 0 0
32 Ge Germanium 74 73.92 72.61 3.88 0.83 0.59 2.08 2.5
33 As Arsenic 75 74.92 74.922 1.26 1 0 0 0
34 Se Selenium 80 79.92 78.96 2.14 1 0 0 0
35 Br Bromine 79 78.92 79.904 0 1 0 0 0
36 Kr Krypton 84 83.912 83.8 0 1 0 0 0
37 Rb Rubidium 85 84.91 85.47 0.86 1 0 0 0
38 Sr Strontium 88 87.91 87.62 1.7 1 0 0 0
39 Y Yttrium 89 88.906 88.905 4.24 1 0 0 0
40 Zr Zirconium 90 89.9 91.22 6.33 0.7 0.54 2.5 2.8
41 Nb Niobium 93 92.91 92.906 7.59 1.02 0.93 2.65 2.8
42 Mo Molybdenum 98 97.905 95.94 6.83 0.84 0.85 2.39 2.8
43 Tc Technetium 97 97 97 0 1 0 0 0
44 Ru Ruthenium 102 101.904 101.07 6.69 1.52 1.31 2.36 2.5
45 Rh Rhodium 103 102.905 102.91 5.78 1.26 1.14 2.59 2.5
46 Pd Palladium 106 105.903 106.4 3.91 1.1 0.85 1.36 2.5
47 Ag Silver 107 106.905 107.87 2.97 1.21 1.08 1.03 2.8
48 Cd Cadmium 114 113.903 112.4 1.16 1 0 0 0
49 In Indium 115 114.904 114.82 2.49 1 0 0 0
50 Sn Tin 120 119.902 118.71 3.12 0.47 0.47 0.88 2.5
51 Sb Antimony 121 120.903 121.75 2.72 1 0 0 0
52 Te Tellurium 130 129.906 127.6 2.02 1 0 0 0
53 I Iodine 127 126.904 126.9 0 1 0 0 0
54 Xe Xenon 132 131.904 131.3 0 1 0 0 0
55 Cs Cesium 133 132.905 132.91 0.81 1 0 0 0
56 Ba Barium 138 137.905 137.327 1.84 1 0 0 0
57 La Lanthanum 139 138.906 138.91 4.42 1 0 0 0
58 Ce Cerium 140 139.905 140.12 4.23 1 0 0 0
59 Pr Praseodymium 141 140.907 140.91 3.71 1 0 0 0
60 Nd Neodymium 142 141.907 144.24 3.28 1 0 0 0
61 Pm Promethium 148 148 148 0 1 0 0 0
62 Sm Samarium 152 151.919 150.36 2.16 1 0 0 0
63 Eu Europium 153 152.921 151.97 1.85 1 0 0 0
