Ordnungszahl, Anzahl Gesputterte, Anzahl Simulierte
1,75,10000
2,119,10000
3,98,10000
4,155,10000
5,209,10000
6,67,10000
7,261,10000
8,526,10000
9,607,10000
10,585,10000
11,296,10000
12,351,10000
13,319,10000
14,177,10000
15,163,10000
16,233,10000
17,815,10000
18,676,10000
19,200,10000
20,277,10000
21,246,10000
22,180,10000
23,190,10000
24,308,10000
25,544,10000
26,472,10000
27,565,10000
28,605,10000
29,1130,10000
30,1481,10000
31,632,10000
32,415,10000
33,1049,10000
34,508,10000
35,1902,10000
36,1536,10000
37,331,10000
38,292,10000
39,257,10000
40,217,10000
41,208,10000
42,284,10000
43,2887,10000
44,523,10000
45,697,10000
46,729,10000
47,798,10000
48,1890,10000
49,775,10000
50,458,10000
51,428,10000
52,548,10000
53,1437,10000
54,2082,10000
55,333,10000
56,338,10000
57,259,10000
58,285,10000
59,400,10000
60,361,10000
61,1880,10000
62,753,10000
63,571,10000
64,397,10000
65,379,10000
66,571,10000
67,680,10000
68,589,10000
69,640,10000
70,663,10000
71,447,10000
72,475,10000
73,399,10000
74,451,10000
75,616,10000
76,813,10000
77,833,10000
78,828,10000
79,1285,10000
80,3283,10000
81,1157,10000
82,888,10000
83,575,10000
84,758,10000
85,1863,10000
86,1910,10000
87,1581,10000
88,1030,10000
89,2337,10000
90,265,10000
91,2701,10000
92,611,10000
